event_time,source_time,domain,source,host,user,source_ip,destination,process,session_correlation_identifier,event,evidence_status,attack_stage,correlation_strength,source_reference,time_basis,uncertainty
2020-05-02T03:15:03.954Z,,Endpoint / Windows,Sysmon EID 1,NASHUA.dmevals.local,DMEVALS\pbeesly,,,C:\Windows\Temp\python.exe,ParentProcessGuid={5aa8ec29-e5b7-5eac-7603-000000000400}; LogonId=0x89177d,PSEXESVC.exe directly launched python.exe under pbeesly session,Correlated,Execution,Strong,HOSTJSON:102446,Explicit UtcTime,Low
2020-05-02T03:15:05.142Z–03:17:59.352Z,,Network (endpoint),Sysmon EID 3 aggregation,NASHUA.dmevals.local,DMEVALS\pbeesly,10.0.1.6,192.168.0.4:8443/tcp,C:\Windows\Temp\python.exe,ProcessGuid={5aa8ec29-e5b8-5eac-7903-000000000400},348 network events from exact python.exe ProcessGuid to 192.168.0.4:8443,Correlated,Command and Control,Strong,HOSTJSON:102844..HOSTJSON:118721 (348 matching records),Explicit UtcTime,Low
2020-05-02T03:16:19.395Z,2020-05-01 23:16:19,Endpoint / Windows,Sysmon EID 1,NASHUA.dmevals.local,DMEVALS\pbeesly,,,Rar.exe,ProcessGuid={5aa8ec29-e603-5eac-7b03-000000000400},RAR invoked with password protection to stage working.zip; archive password redacted in public evidence,Observed,Collection,Moderate,HOSTJSON:105507,Explicit UtcTime,Low
2020-05-02T03:16:52.456Z,2020-05-01 23:16:52,Endpoint / Windows,Sysmon EID 1,NASHUA.dmevals.local,DMEVALS\pbeesly,,,sdelete64.exe,,SDelete removed Rar.exe after staging activity,Observed,Defense Evasion,Moderate,HOSTJSON:114683,Explicit UtcTime,Low
2020-05-02T03:19:14.118Z,,Endpoint / Windows,Sysmon EID 1,SCRANTON.dmevals.local,NT AUTHORITY\SYSTEM,,,javamtsup.exe,ProcessGuid={47ab858c-e6b2-5eac-4d00-000000000500},Previously installed auto-start service executable launched by services.exe as SYSTEM,Correlated,Persistence / Privilege Escalation,Strong contextual,HOSTJSON:132298,Explicit UtcTime,Low
2020-05-02T03:19:14.525Z,,Endpoint / Windows,Sysmon EID 1,SCRANTON.dmevals.local,NT AUTHORITY\SYSTEM,,,rundll32.exe,ParentProcessGuid={47ab858c-e6b2-5eac-4d00-000000000500},SYSTEM javamtsup.exe directly spawned rundll32.exe,Correlated,Execution,Strong,HOSTJSON:132751,Explicit UtcTime,Low
2020-05-02T03:21:19.323Z,2020-05-01 23:21:19,Endpoint / Windows,Sysmon EID 1,SCRANTON.dmevals.local,DMEVALS\pbeesly,,,powershell.exe,ProcessGuid={47ab858c-e72f-5eac-f400-000000000500},PowerShell invoked Start-Process hostui.exe -Verb RunAs,Observed,Privilege Escalation supporting evidence,Moderate,HOSTJSON:183900,Explicit UtcTime,Low
2020-05-02T03:21:27.859Z,2020-05-01 23:21:27,Endpoint / Windows,Sysmon EID 1,SCRANTON.dmevals.local,DMEVALS\pbeesly,,,powershell.exe,ParentProcessGuid={47ab858c-e737-5eac-fa00-000000000500},hostui.exe spawned PowerShell that read HKLM:\SOFTWARE\Javasoft value Supplement and piped it to Invoke-Expression,Correlated,Execution / Defense Evasion,Strong,HOSTJSON:185395,Explicit UtcTime,Low
2020-05-02T03:21:28.949Z,2020-05-01 23:21:28,Endpoint / Windows,Sysmon EID 1,SCRANTON.dmevals.local,DMEVALS\pbeesly,,,powershell.exe,ParentProcessGuid={47ab858c-e737-5eac-fe00-000000000500},Registry-loaded PowerShell spawned encoded hidden PowerShell; payload body not republished,Correlated,Execution / Defense Evasion,Strong,HOSTJSON:185832,Explicit UtcTime,Low
2020-05-02T03:21:30.387Z,,Network (endpoint),Sysmon EID 3,SCRANTON.dmevals.local,DMEVALS\pbeesly,10.0.1.4,192.168.0.4:443/tcp,powershell.exe,ProcessGuid={47ab858c-e739-5eac-0101-000000000500},Follow-on PowerShell network activity to 192.168.0.4:443,Observed,Command and Control,Moderate,HOSTJSON:186659;HOSTJSON:186661,Explicit UtcTime,Low
