fixture_id,rule_id,category,source_scenario,source_file,synthetic_or_sanitised,event_type,event_time,entity_type,entity_id_or_alias,expected_rule,expected_result,expected_classification,ground_truth_label,telemetry_label,benign_context,required_fields_present,intentionally_missing_fields,duplicate_group_id,sequence_id,notes
FX3-R19-04-005,R19-04,edge-cases,Scenario 19,Synthetic Scenario 19 fixture,synthetic,sequence,2030-04-05T00:00:00Z,Service principal + credential,SYNTH-ENTITY,R19-04,Match,True Positive,Boundary: matching use at 23h59m,Synthetic,,Yes,,,FX3-R19-04-005,
FX3-R19-04-006,R19-04,edge-cases,Scenario 19,Synthetic Scenario 19 fixture,synthetic,sequence,2030-04-06T00:00:00Z,Service principal + credential,SYNTH-ENTITY,R19-04,Unable to evaluate,Unable to test,Credential stable ID missing,Synthetic,,Partial,credential_key_id,,FX3-R19-04-006,
FX3-R19-05-001,R19-05,benign,Scenario 11,See source-derived-validation-cases.csv,sanitised-derived-temporal-shift,event,2030-05-01T00:00:00Z,Privileged group + added member,SYNTH-ENTITY,R19-05,Match,Benign Positive,Authorised Atomic privileged-group change,Sanitised-derived,Approved/benign,Yes,,,FX3-R19-05-001,
FX3-R19-05-002,R19-05,malicious,Scenario 19,Synthetic Scenario 19 fixture,synthetic,event,2030-05-02T00:00:00Z,Privileged group + added member,SYNTH-ENTITY,R19-05,Match,True Positive,Unauthorised addition to governed privileged group,Synthetic,,Yes,,,FX3-R19-05-002,
FX3-R19-05-003,R19-05,negative,Scenario 19,Synthetic Scenario 19 fixture,synthetic,event,2030-05-03T00:00:00Z,Privileged group + added member,SYNTH-ENTITY,R19-05,No match,True Negative,Addition to non-privileged group,Synthetic,,Yes,,,FX3-R19-05-003,
FX3-R19-05-004,R19-05,edge-cases,Scenario 19,Synthetic Scenario 19 fixture,synthetic,event,2030-05-04T00:00:00Z,Privileged group + added member,SYNTH-ENTITY,R19-05,No match,True Negative,Display name resembles privileged group but governed ID is not privileged,Synthetic,,Yes,,,FX3-R19-05-004,
FX3-R19-05-005,R19-05,edge-cases,Scenario 19,Synthetic Scenario 19 fixture,synthetic,event,2030-05-05T00:00:00Z,Privileged group + added member,SYNTH-ENTITY,R19-05,Unable to evaluate,Unable to test,Privileged-group identity/enrichment missing,Synthetic,,Partial,group_id/group_is_privileged,,FX3-R19-05-005,
FX3-R19-05-006,R19-05,negative,Scenario 19,Synthetic Scenario 19 fixture,synthetic,event,2030-05-06T00:00:00Z,Privileged group + added member,SYNTH-ENTITY,R19-05,No match,True Negative,Account creation without membership addition,Synthetic,,Yes,,,FX3-R19-05-006,
FX3-R19-06-001,R19-06,malicious,Scenario 16,See source-derived-validation-cases.csv,sanitised-derived-temporal-shift,sequence,2030-06-01T00:00:00Z,Source + destination/domain + transfer object,SYNTH-ENTITY,R19-06,Match,True Positive,Interrupted structured DNS exfiltration; no completion marker,Sanitised-derived,,Yes,,,FX3-R19-06-001,Minimal fixture represents source-confirmed interrupted transfer with many chunks but no completion marker.
FX3-R19-06-002,R19-06,malicious,Scenario 16,See source-derived-validation-cases.csv,sanitised-derived-temporal-shift,sequence,2030-06-02T00:00:00Z,Source + destination/domain + transfer object,SYNTH-ENTITY,R19-06,Match,True Positive,Completed structured DNS transfer pattern,Sanitised-derived,,Yes,,,FX3-R19-06-002,
FX3-R19-06-003,R19-06,edge-cases,Scenario 19,Synthetic Scenario 19 fixture,synthetic,sequence,2030-06-03T00:00:00Z,Source + destination/domain + transfer object,SYNTH-ENTITY,R19-06,No match,True Negative,Duplicate ingestion must not inflate three unique chunks over threshold,Synthetic,,Yes,,,FX3-R19-06-003,Exact duplicate event_record_id values intentionally repeated.
FX3-R19-06-004,R19-06,edge-cases,Scenario 19,Synthetic Scenario 19 fixture,synthetic,sequence,2030-06-04T00:00:03Z,Source + destination/domain + transfer object,SYNTH-ENTITY,R19-06,Match,True Positive,Out-of-order records still form five unique chunks in window,Synthetic,,Yes,,,FX3-R19-06-004,
FX3-R19-06-005,R19-06,edge-cases,Scenario 19,Synthetic Scenario 19 fixture,synthetic,sequence,2030-06-05T00:00:00Z,Source + destination/domain + transfer object,SYNTH-ENTITY,R19-06,No match,True Negative,Four unique chunks remain below starting threshold,Synthetic,,Yes,,,FX3-R19-06-005,
FX3-R19-06-006,R19-06,benign,Scenario 19,Synthetic Scenario 19 fixture,synthetic,sequence,2030-06-06T00:00:00Z,Source + destination/domain + transfer object,SYNTH-ENTITY,R19-06,No match,True Negative,Long DNS labels without structured transfer grammar,Synthetic,,Yes,,,FX3-R19-06-006,
FX3-R19-06-007,R19-06,edge-cases,Scenario 19,Synthetic Scenario 19 fixture,synthetic,event,2030-06-07T00:00:00Z,Source + destination/domain + transfer object,SYNTH-ENTITY,R19-06,Unable to evaluate,Unable to test,Destination identity missing,Synthetic,,Partial,destination_ip/destination identity,,FX3-R19-06-007,
