rule_id,rule_message,severity,hit_count,transaction_count,detection_interpretation,outcome_boundary
942170,Detects SQL benchmark and sleep injection attempts including conditional queries,CRITICAL,4,2,"SQLi rule; validate matched variable, payload context and peer rule support",Rule match and severity do not establish WAF enforcement or successful exploitation
942190,Detects MSSQL code execution and information gathering attempts,CRITICAL,4,2,Specialised SQLi signal; stronger when correlated with additional rules or repeated activity,Rule match and severity do not establish WAF enforcement or successful exploitation
942190,Detects MSSQL code execution and information gathering attempts,CRITICAL,4,2,Specialised SQLi signal; stronger when correlated with additional rules or repeated activity,Rule match and severity do not establish WAF enforcement or successful exploitation
942190,Detects MSSQL code execution and information gathering attempts,CRITICAL,4,2,Specialised SQLi signal; stronger when correlated with additional rules or repeated activity,Rule match and severity do not establish WAF enforcement or successful exploitation
942320,Detects MySQL and PostgreSQL stored procedure/function injections,CRITICAL,4,2,"SQLi rule; validate matched variable, payload context and peer rule support",Rule match and severity do not establish WAF enforcement or successful exploitation
942360,Detects concatenated basic SQL injection and SQLLFI attempts,CRITICAL,4,2,Specialised SQLi signal; stronger when correlated with additional rules or repeated activity,Rule match and severity do not establish WAF enforcement or successful exploitation
942360,Detects concatenated basic SQL injection and SQLLFI attempts,CRITICAL,4,2,Specialised SQLi signal; stronger when correlated with additional rules or repeated activity,Rule match and severity do not establish WAF enforcement or successful exploitation
942100,SQL Injection Attack Detected via libinjection,CRITICAL,2,1,Broad libinjection detector; single-rule hits require context review,Rule match and severity do not establish WAF enforcement or successful exploitation
942140,SQL Injection Attack: Common DB Names Detected,,2,1,"SQLi rule; validate matched variable, payload context and peer rule support",Rule match and severity do not establish WAF enforcement or successful exploitation
942270,"Looking for basic sql injection. Common attack string for mysql, oracle and others.",CRITICAL,2,1,"SQLi rule; validate matched variable, payload context and peer rule support",Rule match and severity do not establish WAF enforcement or successful exploitation
