client_ip,host,user_agent,request_count,first_seen_utc,last_seen_utc,high_signal_count,likely_false_positive_count,manual_review_count,distinct_methods,source_identity_boundary
100.86.166.134,d594ce5.hu,Mozilla/5.0 (Debian; Linux x86_64; rv:132.0) Gecko/20100101 Firefox/132.0,2,2025-08-16T11:12:20+00:00,2025-08-17T00:49:37+00:00,2,0,0,2,Anonymised dataset value; X-Forwarded-For is not trusted without proxy-chain evidence
100.86.166.134,d594ce5.hu,Mozilla/5.0 (Fedora; Linux x86_64; rv:127.0) Gecko/20100101 Firefox/127.0,2,2025-08-16T19:31:33+00:00,2025-08-16T23:45:10+00:00,2,0,0,1,Anonymised dataset value; X-Forwarded-For is not trusted without proxy-chain evidence
100.86.166.134,d594ce5.hu,Mozilla/5.0 (Knoppix; Linux i686; rv:128.0) Gecko/20100101 Firefox/128.0,2,2025-08-16T19:17:32+00:00,2025-08-16T23:57:15+00:00,2,0,0,2,Anonymised dataset value; X-Forwarded-For is not trusted without proxy-chain evidence
100.86.166.134,d594ce5.hu,"Mozilla/5.0 (Kubuntu; Linux i686) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36",2,2025-08-16T10:57:39+00:00,2025-08-17T01:45:46+00:00,2,0,0,2,Anonymised dataset value; X-Forwarded-For is not trusted without proxy-chain evidence
100.86.166.134,d594ce5.hu,"Mozilla/5.0 (Macintosh, Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Safari/605.1.15",2,2025-08-16T10:20:25+00:00,2025-08-16T18:41:38+00:00,2,0,0,1,Anonymised dataset value; X-Forwarded-For is not trusted without proxy-chain evidence
100.86.166.134,d594ce5.hu,"Mozilla/5.0 (Macintosh, Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.4.1 Safari/605.1.15",2,2025-08-16T12:13:35+00:00,2025-08-16T22:43:39+00:00,2,0,0,1,Anonymised dataset value; X-Forwarded-For is not trusted without proxy-chain evidence
100.86.166.134,d594ce5.hu,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_4) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/11.1 Safari/605.1.15",2,2025-08-16T21:56:15+00:00,2025-08-16T22:50:51+00:00,2,0,0,1,Anonymised dataset value; X-Forwarded-For is not trusted without proxy-chain evidence
100.86.166.134,d594ce5.hu,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.2 Safari/605.1.15",2,2025-08-16T11:23:31+00:00,2025-08-17T01:56:29+00:00,2,0,0,2,Anonymised dataset value; X-Forwarded-For is not trusted without proxy-chain evidence
100.86.166.134,d594ce5.hu,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36",2,2025-08-16T09:19:00+00:00,2025-08-17T00:19:20+00:00,2,0,0,2,Anonymised dataset value; X-Forwarded-For is not trusted without proxy-chain evidence
100.86.166.134,d594ce5.hu,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1.3 Safari/605.1.15",2,2025-08-16T19:10:45+00:00,2025-08-16T20:22:22+00:00,2,0,0,2,Anonymised dataset value; X-Forwarded-For is not trusted without proxy-chain evidence
100.86.166.134,d594ce5.hu,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.1 Safari/605.1.15",2,2025-08-16T11:59:31+00:00,2025-08-16T20:37:10+00:00,2,0,0,1,Anonymised dataset value; X-Forwarded-For is not trusted without proxy-chain evidence
100.86.166.134,d594ce5.hu,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.5.1 Safari/605.1.15",2,2025-08-16T11:19:38+00:00,2025-08-16T13:23:39+00:00,2,0,0,1,Anonymised dataset value; X-Forwarded-For is not trusted without proxy-chain evidence
100.86.166.134,d594ce5.hu,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Mobile/15E148 Safari/604.1",2,2025-08-16T12:18:07+00:00,2025-08-17T00:35:29+00:00,2,0,0,2,Anonymised dataset value; X-Forwarded-For is not trusted without proxy-chain evidence
100.86.166.134,d594ce5.hu,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.1.1 Safari/605.1.15",2,2025-08-16T13:48:10+00:00,2025-08-16T15:15:18+00:00,2,0,0,2,Anonymised dataset value; X-Forwarded-For is not trusted without proxy-chain evidence
100.86.166.134,d594ce5.hu,"Mozilla/5.0 (Macintosh; Intel Mac OS X 11_3) AppleWebKit/537.36 (KHTML, like Gecko) Safari/604.1",2,2025-08-16T11:27:12+00:00,2025-08-16T16:59:57+00:00,2,0,0,2,Anonymised dataset value; X-Forwarded-For is not trusted without proxy-chain evidence
100.86.166.134,d594ce5.hu,"Mozilla/5.0 (SS; Linux i686) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36",2,2025-08-16T14:37:05+00:00,2025-08-16T20:35:37+00:00,2,0,0,2,Anonymised dataset value; X-Forwarded-For is not trusted without proxy-chain evidence
100.86.166.134,d594ce5.hu,"Mozilla/5.0 (Ubuntu; Linux i686) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36",2,2025-08-16T11:26:30+00:00,2025-08-16T12:03:31+00:00,2,0,0,1,Anonymised dataset value; X-Forwarded-For is not trusted without proxy-chain evidence
100.86.166.134,d594ce5.hu,"Mozilla/5.0 (Ubuntu; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36",2,2025-08-16T12:03:45+00:00,2025-08-17T00:33:03+00:00,2,0,0,2,Anonymised dataset value; X-Forwarded-For is not trusted without proxy-chain evidence
100.86.166.134,d594ce5.hu,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:132.0) Gecko/20100101 Firefox/132.0,2,2025-08-16T12:03:30+00:00,2025-08-16T12:49:34+00:00,2,0,0,1,Anonymised dataset value; X-Forwarded-For is not trusted without proxy-chain evidence
100.86.166.134,d594ce5.hu,"Mozilla/5.0 (Windows NT 11.0) AppleWebKit/537.36 (KHTML, like Gecko) Safari/113.0 Safari/537.36",2,2025-08-16T15:17:41+00:00,2025-08-17T00:44:38+00:00,2,0,0,2,Anonymised dataset value; X-Forwarded-For is not trusted without proxy-chain evidence
100.86.166.134,d594ce5.hu,"Mozilla/5.0 (Windows NT 11.0) AppleWebKit/537.36 (KHTML, like Gecko) Safari/121.0 Safari/537.36",2,2025-08-16T12:08:32+00:00,2025-08-16T22:18:50+00:00,2,0,0,2,Anonymised dataset value; X-Forwarded-For is not trusted without proxy-chain evidence
100.86.166.134,d594ce5.hu,"Mozilla/5.0 (Windows; U; Windows NT 6.0; fr-FR) AppleWebKit/528.16 (KHTML, like Gecko) Version/4.0 Safari/528.16",2,2025-08-16T12:15:42+00:00,2025-08-17T01:28:44+00:00,2,0,0,2,Anonymised dataset value; X-Forwarded-For is not trusted without proxy-chain evidence
100.86.166.134,d594ce5.hu,"Mozilla/5.0 (Windows; U; Windows NT 6.0; he-IL) AppleWebKit/528+ (KHTML, like Gecko) Version/4.0 Safari/528.16",2,2025-08-16T12:22:12+00:00,2025-08-16T22:14:16+00:00,2,0,0,2,Anonymised dataset value; X-Forwarded-For is not trusted without proxy-chain evidence
100.86.166.134,d594ce5.hu,Mozilla/5.0 (X11; Linux i686; rv:120.0) Gecko/20100101 Firefox/120.0,2,2025-08-16T14:44:22+00:00,2025-08-16T19:23:49+00:00,2,0,0,2,Anonymised dataset value; X-Forwarded-For is not trusted without proxy-chain evidence
100.86.166.134,d594ce5.hu,Mozilla/5.0 (X11; Linux i686; rv:127.0) Gecko/20100101 Firefox/127.0,2,2025-08-16T10:05:38+00:00,2025-08-16T12:05:48+00:00,2,0,0,1,Anonymised dataset value; X-Forwarded-For is not trusted without proxy-chain evidence
100.86.166.134,d594ce5.hu,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36",2,2025-08-16T11:28:43+00:00,2025-08-16T12:36:48+00:00,2,0,0,1,Anonymised dataset value; X-Forwarded-For is not trusted without proxy-chain evidence
100.86.166.134,d594ce5.hu,Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/118.0,2,2025-08-16T12:28:16+00:00,2025-08-16T23:28:59+00:00,2,0,0,2,Anonymised dataset value; X-Forwarded-For is not trusted without proxy-chain evidence
100.86.166.134,d594ce5.hu,Mozilla/5.0 (ZZ; Linux i686; rv:134.0) Gecko/20100101 Firefox/134.0,2,2025-08-16T11:58:10+00:00,2025-08-16T23:07:05+00:00,2,0,0,1,Anonymised dataset value; X-Forwarded-For is not trusted without proxy-chain evidence
100.86.166.134,da929f8.hu,"Mozilla/5.0 (Debian; Linux i686) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36",2,2025-08-16T13:19:01+00:00,2025-08-16T22:59:03+00:00,2,0,0,1,Anonymised dataset value; X-Forwarded-For is not trusted without proxy-chain evidence
100.86.166.134,da929f8.hu,"Mozilla/5.0 (Knoppix; Linux i686) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",2,2025-08-16T21:16:19+00:00,2025-08-16T22:22:47+00:00,2,0,0,1,Anonymised dataset value; X-Forwarded-For is not trusted without proxy-chain evidence
100.86.166.134,da929f8.hu,Mozilla/5.0 (Knoppix; Linux i686; rv:130.0) Gecko/20100101 Firefox/130.0,2,2025-08-16T19:58:13+00:00,2025-08-16T22:08:01+00:00,2,0,0,2,Anonymised dataset value; X-Forwarded-For is not trusted without proxy-chain evidence
100.86.166.134,da929f8.hu,Mozilla/5.0 (Kubuntu; Linux x86_64; rv:122.0) Gecko/20100101 Firefox/122.0,2,2025-08-16T14:39:23+00:00,2025-08-16T15:06:11+00:00,2,0,0,1,Anonymised dataset value; X-Forwarded-For is not trusted without proxy-chain evidence
100.86.166.134,da929f8.hu,"Mozilla/5.0 (Mac OS X 13_2) AppleWebKit/537.36 (KHTML, like Gecko) Edge/126.0 Safari/537.36",2,2025-08-16T14:21:13+00:00,2025-08-16T22:54:40+00:00,2,0,0,1,Anonymised dataset value; X-Forwarded-For is not trusted without proxy-chain evidence
100.86.166.134,da929f8.hu,"Mozilla/5.0 (Mac OS X 13_2) AppleWebKit/537.36 (KHTML, like Gecko) Safari/126.0 Safari/537.36",2,2025-08-16T21:27:40+00:00,2025-08-17T00:51:38+00:00,2,0,0,1,Anonymised dataset value; X-Forwarded-For is not trusted without proxy-chain evidence
100.86.166.134,da929f8.hu,"Mozilla/5.0 (Macintosh, Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.10 Safari/605.1.15",2,2025-08-16T13:40:52+00:00,2025-08-16T23:36:30+00:00,2,0,0,2,Anonymised dataset value; X-Forwarded-For is not trusted without proxy-chain evidence
100.86.166.134,da929f8.hu,"Mozilla/5.0 (Macintosh, Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.3 Safari/605.1.15",2,2025-08-16T10:48:44+00:00,2025-08-16T13:06:56+00:00,2,0,0,1,Anonymised dataset value; X-Forwarded-For is not trusted without proxy-chain evidence
100.86.166.134,da929f8.hu,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:109.0) Gecko/20100101 Firefox/118.0,2,2025-08-16T12:19:12+00:00,2025-08-16T18:55:27+00:00,2,0,0,2,Anonymised dataset value; X-Forwarded-For is not trusted without proxy-chain evidence
100.86.166.134,da929f8.hu,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/603.3.8 (KHTML, like Gecko) Version/10.1.2 Safari/603.3.8",2,2025-08-16T20:55:03+00:00,2025-08-16T22:47:35+00:00,2,0,0,2,Anonymised dataset value; X-Forwarded-For is not trusted without proxy-chain evidence
100.86.166.134,da929f8.hu,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.2 Safari/605.1.15",2,2025-08-16T12:09:14+00:00,2025-08-16T23:24:38+00:00,2,0,0,2,Anonymised dataset value; X-Forwarded-For is not trusted without proxy-chain evidence
100.86.166.134,da929f8.hu,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.2 Safari/605.1.15",2,2025-08-16T13:41:24+00:00,2025-08-16T14:15:04+00:00,2,0,0,1,Anonymised dataset value; X-Forwarded-For is not trusted without proxy-chain evidence
100.86.166.134,da929f8.hu,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15",2,2025-08-16T11:34:40+00:00,2025-08-16T20:54:38+00:00,2,0,0,1,Anonymised dataset value; X-Forwarded-For is not trusted without proxy-chain evidence
100.86.166.134,da929f8.hu,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.2 Mobile/15E148 Safari/604.1",2,2025-08-16T12:09:07+00:00,2025-08-16T15:16:29+00:00,2,0,0,1,Anonymised dataset value; X-Forwarded-For is not trusted without proxy-chain evidence
100.86.166.134,da929f8.hu,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.0 Safari/605.1.15",2,2025-08-16T11:25:11+00:00,2025-08-17T01:15:49+00:00,2,0,0,1,Anonymised dataset value; X-Forwarded-For is not trusted without proxy-chain evidence
100.86.166.134,da929f8.hu,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.3.1 Safari/605.1.15",2,2025-08-16T12:18:57+00:00,2025-08-16T18:37:00+00:00,2,0,0,1,Anonymised dataset value; X-Forwarded-For is not trusted without proxy-chain evidence
100.86.166.134,da929f8.hu,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.3.2 Safari/605.1.15",2,2025-08-16T20:33:20+00:00,2025-08-16T22:40:10+00:00,2,0,0,2,Anonymised dataset value; X-Forwarded-For is not trusted without proxy-chain evidence
100.86.166.134,da929f8.hu,"Mozilla/5.0 (Macintosh; Intel Mac OS X 14_4_1) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.3.1 Safari/605.1.15",2,2025-08-16T11:33:04+00:00,2025-08-16T13:28:41+00:00,2,0,0,2,Anonymised dataset value; X-Forwarded-For is not trusted without proxy-chain evidence
100.86.166.134,da929f8.hu,Mozilla/5.0 (SS; Linux i686; rv:125.0) Gecko/20100101 Firefox/125.0,2,2025-08-16T12:50:35+00:00,2025-08-17T01:28:10+00:00,2,0,0,2,Anonymised dataset value; X-Forwarded-For is not trusted without proxy-chain evidence
100.86.166.134,da929f8.hu,Mozilla/5.0 (SS; Linux x86_64; rv:129.0) Gecko/20100101 Firefox/129.0,2,2025-08-16T19:43:16+00:00,2025-08-16T22:14:14+00:00,2,0,0,1,Anonymised dataset value; X-Forwarded-For is not trusted without proxy-chain evidence
100.86.166.134,da929f8.hu,"Mozilla/5.0 (Ubuntu; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36",2,2025-08-16T17:05:43+00:00,2025-08-16T19:53:02+00:00,2,0,0,1,Anonymised dataset value; X-Forwarded-For is not trusted without proxy-chain evidence
100.86.166.134,da929f8.hu,Mozilla/5.0 (Ubuntu; Linux x86_64; rv:127.0) Gecko/20100101 Firefox/127.0,2,2025-08-16T13:18:31+00:00,2025-08-17T01:17:45+00:00,2,0,0,1,Anonymised dataset value; X-Forwarded-For is not trusted without proxy-chain evidence
100.86.166.134,da929f8.hu,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.3",2,2025-08-16T11:50:42+00:00,2025-08-16T14:38:50+00:00,2,0,0,1,Anonymised dataset value; X-Forwarded-For is not trusted without proxy-chain evidence
100.86.166.134,da929f8.hu,Mozilla/5.0 (Windows NT 6.2; rv:128.9) Gecko/20100101 Firefox/128.9,2,2025-08-16T12:14:36+00:00,2025-08-17T00:54:36+00:00,2,0,0,2,Anonymised dataset value; X-Forwarded-For is not trusted without proxy-chain evidence
