hunt_id,step_order,behaviour,attack_step,attack_technique_or_subtechnique,data_source,entity,telemetry_status,observed_status,detection_status,detection_rule_or_artifact,hunt_query,validation_status,deployment_status,evidence_reference,coverage_reasoning
HC-05,5,End-to-end lateral-movement sequence,Lateral movement chain,T1021.002;T1569.002,Authentication+network+process,source/target/account,Available,Observed,Partially detected,05-endpoint-and-windows-investigations/scenario-13-lateral-movement-through-rdp-smb-or-remote-services/detections/microsoft-sentinel/smbexec_lateral_movement_correlation.kql;05-endpoint-and-windows-investigations/scenario-13-lateral-movement-through-rdp-smb-or-remote-services/detections/splunk/smbexec_lateral_movement_correlation.spl,LQE-05,Syntax reviewed,Not available — repository evidence does not prove live deployment,scenario13:attack-timeline.csv,"Scenario 13 already contains Sentinel and Splunk multi-event correlation logic for 4624 Type 3 + 5145 IPC$\svcctl + 4697 within two minutes under correlated user/logon context. The remote child-process/follow-on stage is covered by separate behavioural artifacts rather than being joined into the same correlation, so the full expanded hunt chain is Partially detected."
HC-07,1,WAF-observed SQLi-family request,Exploit attempt,T1190,WAF transaction,source/tx,Available,Observed,Partially detected,06-web-and-data-security-investigations/scenario-15-sql-injection-and-waf-alert-correlation/detections/sigma/waf_high_confidence_sqli_request.yml;06-web-and-data-security-investigations/scenario-15-sql-injection-and-waf-alert-correlation/detections/sigma/waf_rule_942100_context_review.yml;06-web-and-data-security-investigations/scenario-15-sql-injection-and-waf-alert-correlation/detections/sigma/waf_time_based_sqli.yml,LQE-07,Not tested,Not available — repository evidence does not prove live deployment,scenario15:web-request-timeline.csv,Source detection artifacts exist but deployment is unknown
HC-07,2,Burst/multi-rule high-confidence SQLi,Correlated exploit attempt,T1190,WAF transaction,source/tx,Available,Observed,Detected,R19-03 High-Confidence or Correlated SQL Injection Activity,LQE-07,Source validated,Not available — repository evidence does not prove live deployment,scenario15:web-request-timeline.csv,"Corrected R19-03 local semantic approximation: Branch A = >=2 distinct SQLi rule IDs in one transaction OR a specialist SQLi rule; Branch B = >=20 distinct SQLi transaction IDs for the same source_ip+host in a rolling 5-minute window. Because the specification states that single generic Rule 942100-only events are retained for review/logging, a single 942xxx rule other than 942100 is treated as the local specialist-rule approximation."
HC-07,3,Lower-frequency/single-rule SQLi candidate,Low-and-slow hunt,T1190,WAF transaction,source/UA/path,Available,Not observed,Hunt only,LQE-07,LQE-07,Not tested,Not available — repository evidence does not prove live deployment,scenario15:web-request-timeline.csv,No transaction remains outside corrected R19-03 high-confidence logic in the reviewed dataset.
HC-08,1,WAF SQLi attempt,Exploit attempt,T1190,WAF,transaction,Available,Observed,Detected,R19-03 High-Confidence or Correlated SQL Injection Activity,LQE-08,Source validated,Not available — repository evidence does not prove live deployment,scenario15:web-request-timeline.csv,Request-side attempt is visible
HC-08,2,Application handling/SQL exception,Backend application outcome,T1190,Application request/exception log,request,Not available,Unable to assess,Unable to assess,,LQE-08,Not tested,Not available,scenario15:application-and-database-evidence.csv,Application log absent
HC-08,3,SQL query execution/table access,Database outcome,T1190,Database/backend audit,DB session,Not available,Unable to assess,Unable to assess,,LQE-08,Not tested,Not available,scenario15:application-and-database-evidence.csv,Database audit absent
HC-08,4,Web shell/child process follow-on,Endpoint impact,T1505.003,Endpoint file/process,web server,Not available,Unable to assess,Unable to assess,,LQE-08,Not tested,Not available,scenario15:follow-on-activity-analysis.csv,Endpoint follow-on telemetry absent
HC-09,1,File collection/staging,Collection/staging,T1005,Endpoint file/process,source,Available,Observed,Hunt only,Scenario16 staging queries,LQE-09,Not tested,Not available — repository evidence does not prove live deployment,scenario16:file-collection-and-staging-analysis.csv,Investigation/hunt coverage
HC-09,2,Compression/encoding pipeline,Archive/transform,T1560.001,Endpoint command/process,process,Available,Observed,Partially detected,06-web-and-data-security-investigations/scenario-16-suspicious-data-exfiltration-investigation/detections/sigma/dns_structured_chunked_file_transfer.yml;06-web-and-data-security-investigations/scenario-16-suspicious-data-exfiltration-investigation/detections/sigma/linux_suspicious_dns_exfiltration_pipeline.yml,LQE-09,Not tested,Not available — repository evidence does not prove live deployment,scenario16:compression-and-encryption-analysis.csv,Pipeline Sigma artifact covers a high-signal primitive
HC-09,3,Structured DNS chunks,DNS exfiltration,T1048.003;T1071.004,DNS/query,domain/query,Available,Observed,Detected,R19-06 Structured Chunked Data Transfer Over DNS,LQE-09,Source validated,Not available — repository evidence does not prove live deployment,scenario16:dns-tunnelling-analysis.csv,R19-06 covers structured DNS primitive
HC-09,4,Transfer outcome/hash match,Exfiltration outcome,T1048.003,Transfer/hash evidence,file/object,Available,Observed,Hunt only,,LQE-09,Not tested,Not available,scenario16:transfer-outcome-assessment.csv,Outcome verification is investigative evidence
HC-09,5,Exact process-to-DNS-flow join,Cross-source join,T1048.003,Endpoint socket + DNS/flow stable ID,process-flow,Partial,Unable to assess,Unable to assess,,LQE-09,Not tested,Not available,scenario16:process-to-network-correlation.csv,No stable endpoint process-to-flow identifier
HC-10,1,Credential added/changed,Application persistence,T1098.001,Directory audit/credential metadata,app/SP,Available,Observed,Detected,R19-04 Credential Addition Followed by Service-Principal Sign-In,LQE-10,Source validated,Not available — repository evidence does not prove live deployment,scenario18:credential-change-analysis.csv,First stage of R19-04
HC-10,2,SP sign-in after credential change,Application identity auth,T1078.004,SP sign-in,service principal,Available,Observed,Detected,R19-04 Credential Addition Followed by Service-Principal Sign-In,LQE-10,Source validated,Not available — repository evidence does not prove live deployment,scenario18:service-principal-signin-analysis.csv,R19-04 terminal event
HC-10,3,API/resource activity linked to sign-in token,Cloud resource use,T1078.004,API/resource + correlation,app/SP/token,Available,Observed,Partially detected,07-cloud-identity-and-privilege-investigations/scenario-18-cloud-privilege-and-oauth-application-abuse/detections/elastic/05-application-permission-followed-by-sensitive-api-use.esql;07-cloud-identity-and-privilege-investigations/scenario-18-cloud-privilege-and-oauth-application-abuse/detections/sentinel/05-application-permission-followed-by-sensitive-graph-use.kql;07-cloud-identity-and-privilege-investigations/scenario-18-cloud-privilege-and-oauth-application-abuse/detections/splunk/05-application-permission-followed-by-sensitive-api-use.spl,LQE-10,Not tested,Not available — repository evidence does not prove live deployment,scenario18:precise-cloud-privilege-correlation.csv,Source evidence confirms token-to-API links; deployment of API rules is not evidenced
HC-10,4,Exact permission claim for API request,Permission attribution,,Per-request token/app-role claim,API request,Not available,Unable to assess,Unable to assess,,LQE-10,Not tested,Not available,scenario18:detection-gap-analysis.csv,Specific permission claim is not logged per API request
HC-12,1,Privileged membership addition,Account manipulation,T1098;T1098.007,Windows Security group events,ATTACKRANGE\T1136.001_Admin,Available,Observed,Detected,R19-05 Privileged Security Group Membership Addition,LQE-12,Source validated,Not available — repository evidence does not prove live deployment,scenario11:privilege-change-timeline.csv,R19-05 covers the membership change
HC-12,2,Target authentication after change,Post-change use,T1078,4624/4625,ATTACKRANGE\T1136.001_Admin,Available,Not observed,Hunt only,,LQE-12,Not tested,Not available,scenario11:field-coverage.csv,Target authentication was searched and recorded Not observed
HC-12,3,Explicit credential/special privilege use,Post-change privilege use,T1078,4648/4672,ATTACKRANGE\T1136.001_Admin,Available,Not observed,Hunt only,,LQE-12,Not tested,Not available,scenario11:field-coverage.csv,Target-attributed use recorded Not observed
HC-12,4,Target process execution,Post-change execution,,Sysmon Event 1,ATTACKRANGE\T1136.001_Admin,Available,Not observed,Hunt only,,LQE-12,Not tested,Not available,scenario11:field-coverage.csv,Target process use recorded Not observed
HC-12,5,Cross-host follow-on,Environment-wide use,,Cross-host EDR/network,ATTACKRANGE\T1136.001_Admin,Not available,Unable to assess,Unable to assess,,LQE-12,Not tested,Not available,scenario11:field-coverage.csv,Cross-host follow-on telemetry is explicitly unavailable
