hunt_id,behaviour,attack_step,attack_technique_or_subtechnique,data_source,entity,detection_rule_or_artifact,hunt_query,telemetry_status,detection_status,validation_status,deployment_status,coverage_reasoning
HC-09,Compression/encoding pipeline,Archive/transform,T1560.001,Endpoint command/process,process,06-web-and-data-security-investigations/scenario-16-suspicious-data-exfiltration-investigation/detections/sigma/dns_structured_chunked_file_transfer.yml;06-web-and-data-security-investigations/scenario-16-suspicious-data-exfiltration-investigation/detections/sigma/linux_suspicious_dns_exfiltration_pipeline.yml,LQE-09,Available,Partially detected,Not tested,Not available — repository evidence does not prove live deployment,Pipeline Sigma artifact covers a high-signal primitive
HC-09,Structured DNS chunks,DNS exfiltration,T1048.003;T1071.004,DNS/query,domain/query,R19-06 Structured Chunked Data Transfer Over DNS,LQE-09,Available,Detected,Source validated,Not available — repository evidence does not prove live deployment,R19-06 covers structured DNS primitive
HC-09,Transfer outcome/hash match,Exfiltration outcome,T1048.003,Transfer/hash evidence,file/object,,LQE-09,Available,Hunt only,Not tested,Not available,Outcome verification is investigative evidence
HC-09,Exact process-to-DNS-flow join,Cross-source join,T1048.003,Endpoint socket + DNS/flow stable ID,process-flow,,LQE-09,Partial,Unable to assess,Not tested,Not available,No stable endpoint process-to-flow identifier
HC-10,Credential added/changed,Application persistence,T1098.001,Directory audit/credential metadata,app/SP,R19-04 Credential Addition Followed by Service-Principal Sign-In,LQE-10,Available,Detected,Source validated,Not available — repository evidence does not prove live deployment,First stage of R19-04
HC-10,SP sign-in after credential change,Application identity auth,T1078.004,SP sign-in,service principal,R19-04 Credential Addition Followed by Service-Principal Sign-In,LQE-10,Available,Detected,Source validated,Not available — repository evidence does not prove live deployment,R19-04 terminal event
HC-10,API/resource activity linked to sign-in token,Cloud resource use,T1078.004,API/resource + correlation,app/SP/token,07-cloud-identity-and-privilege-investigations/scenario-18-cloud-privilege-and-oauth-application-abuse/detections/elastic/05-application-permission-followed-by-sensitive-api-use.esql;07-cloud-identity-and-privilege-investigations/scenario-18-cloud-privilege-and-oauth-application-abuse/detections/sentinel/05-application-permission-followed-by-sensitive-graph-use.kql;07-cloud-identity-and-privilege-investigations/scenario-18-cloud-privilege-and-oauth-application-abuse/detections/splunk/05-application-permission-followed-by-sensitive-api-use.spl,LQE-10,Available,Partially detected,Not tested,Not available — repository evidence does not prove live deployment,Source evidence confirms token-to-API links; deployment of API rules is not evidenced
HC-10,Exact permission claim for API request,Permission attribution,,Per-request token/app-role claim,API request,,LQE-10,Not available,Unable to assess,Not tested,Not available,Specific permission claim is not logged per API request
HC-12,Privileged membership addition,Account manipulation,T1098;T1098.007,Windows Security group events,ATTACKRANGE\T1136.001_Admin,R19-05 Privileged Security Group Membership Addition,LQE-12,Available,Detected,Source validated,Not available — repository evidence does not prove live deployment,R19-05 covers the membership change
HC-12,Target authentication after change,Post-change use,T1078,4624/4625,ATTACKRANGE\T1136.001_Admin,,LQE-12,Available,Hunt only,Not tested,Not available,Target authentication was searched and recorded Not observed
HC-12,Explicit credential/special privilege use,Post-change privilege use,T1078,4648/4672,ATTACKRANGE\T1136.001_Admin,,LQE-12,Available,Hunt only,Not tested,Not available,Target-attributed use recorded Not observed
HC-12,Target process execution,Post-change execution,,Sysmon Event 1,ATTACKRANGE\T1136.001_Admin,,LQE-12,Available,Hunt only,Not tested,Not available,Target process use recorded Not observed
HC-12,Cross-host follow-on,Environment-wide use,,Cross-host EDR/network,ATTACKRANGE\T1136.001_Admin,,LQE-12,Not available,Unable to assess,Not tested,Not available,Cross-host follow-on telemetry is explicitly unavailable
