activity,actor_id,actor_name,actor_type,app_id,correlation_id,event_type,evidence_label,operation_id,request_id,result,service_principal_id,source,source_ip,target,time_utc,token_id
Add app role assignment to service principal,a076be48-5b17-5758-89ba-433d71a97fb5,Cloud Administrator Two,User,,bbe5050a-72e5-5b9a-bb31-80dbc0a0c180,ApplicationManagement,Confirmed,,,success,,DirectoryAudit,203.0.113.77,Northstar Data Operations Connector [SYNTHETIC]; Microsoft Graph resource representation [SYNTHETIC],2026-06-15T01:16:00Z,
Add app role assignment to service principal,a076be48-5b17-5758-89ba-433d71a97fb5,Cloud Administrator Two,User,,4c9e8585-6290-5e8f-9901-1d3cc19aeb9b,ApplicationManagement,Confirmed,,,success,,DirectoryAudit,203.0.113.77,Northstar Data Operations Connector [SYNTHETIC]; Microsoft Graph resource representation [SYNTHETIC],2026-06-15T01:16:30Z,
Add member to role,a076be48-5b17-5758-89ba-433d71a97fb5,Cloud Administrator Two,User,,647231f5-9af1-5d05-90b9-98ac3b5b0168,RoleManagement,Confirmed,,,success,,DirectoryAudit,203.0.113.77,Northstar Data Operations Connector [SYNTHETIC]; Cloud Application Administrator [SYNTHETIC ROLE],2026-06-15T01:17:00Z,
Add service principal credentials,a076be48-5b17-5758-89ba-433d71a97fb5,Cloud Administrator Two,User,,51aa49c8-2202-5691-b56a-e9fb44af158a,ApplicationManagement,Confirmed,,,success,,DirectoryAudit,203.0.113.77,Northstar Data Operations Connector [SYNTHETIC],2026-06-15T01:18:00Z,
Application sign-in using clientSecret,13b2b610-6000-5b59-a4c3-66994834a818,Northstar Data Operations Connector [SYNTHETIC],ServicePrincipal,7e826e1b-2861-5d4f-866a-6366dd986a64,12cf81c3-facc-551e-be59-2eb4626c0a30,Service principal sign-in,Confirmed,,a9aae513-6c27-5436-a4d9-9edadbef9b99,success,13b2b610-6000-5b59-a4c3-66994834a818,ServicePrincipalSignIn,203.0.113.77,Microsoft Graph resource representation [SYNTHETIC],2026-06-15T01:24:00Z,bac69792-442c-5c36-9054-1a99f48152f3
Risky service principal detected,13b2b610-6000-5b59-a4c3-66994834a818,Northstar Data Operations Connector [SYNTHETIC],ServicePrincipal,7e826e1b-2861-5d4f-866a-6366dd986a64,35293b02-f0aa-59f4-bc08-0989b925a0f4,Platform-generated risk,Platform-generated risk,,,atRisk,13b2b610-6000-5b59-a4c3-66994834a818,PlatformRisk,,,2026-06-15T01:25:00Z,
List applications,13b2b610-6000-5b59-a4c3-66994834a818,,ServicePrincipal,7e826e1b-2861-5d4f-866a-6366dd986a64,d79a3bbe-0497-5aef-b7c5-b9c5962713c7,Microsoft Graph,Confirmed,63535623-ed12-53d2-8994-a0642cea49ea,541a8ac2-2465-53fe-8221-e15245f0e077,success,13b2b610-6000-5b59-a4c3-66994834a818,APIActivity,203.0.113.77,Applications collection,2026-06-15T01:26:00Z,bac69792-442c-5c36-9054-1a99f48152f3
List servicePrincipals,13b2b610-6000-5b59-a4c3-66994834a818,,ServicePrincipal,7e826e1b-2861-5d4f-866a-6366dd986a64,07aa5143-bee7-5b39-8124-9c168cd776ae,Microsoft Graph,Confirmed,8977ad5c-32d6-56ca-9608-383820dd58b7,881c0121-21ff-54fa-8c18-71f38b0af9ca,success,13b2b610-6000-5b59-a4c3-66994834a818,APIActivity,203.0.113.77,Service principals collection,2026-06-15T01:27:00Z,bac69792-442c-5c36-9054-1a99f48152f3
List sites,13b2b610-6000-5b59-a4c3-66994834a818,,ServicePrincipal,7e826e1b-2861-5d4f-866a-6366dd986a64,59f643c4-1db9-57ac-a44e-834daf97157c,Microsoft Graph,Confirmed,cae9b62e-b873-541d-b5ac-c3f5f6ec681e,a4808412-3c01-5a5f-ab3e-ee23d8c8d3c8,success,13b2b610-6000-5b59-a4c3-66994834a818,APIActivity,203.0.113.77,Finance Collaboration Site [SYNTHETIC],2026-06-15T01:29:00Z,bac69792-442c-5c36-9054-1a99f48152f3
List driveItems,13b2b610-6000-5b59-a4c3-66994834a818,,ServicePrincipal,7e826e1b-2861-5d4f-866a-6366dd986a64,e9e8d380-d508-5fb9-aff8-6b96f12a656e,Microsoft Graph,Confirmed,494b023a-f268-5ba6-a07c-4eb6a56cd257,ad038709-1f9b-5367-bb74-e1b7a381abd8,success,13b2b610-6000-5b59-a4c3-66994834a818,APIActivity,203.0.113.77,Finance Shared Drive [SYNTHETIC],2026-06-15T01:31:00Z,bac69792-442c-5c36-9054-1a99f48152f3
Download driveItem content,13b2b610-6000-5b59-a4c3-66994834a818,,ServicePrincipal,7e826e1b-2861-5d4f-866a-6366dd986a64,edd5ebba-84d1-57f2-8ede-e5347d7b2304,Microsoft Graph,Confirmed,d5dd6775-1b52-5de1-b7ae-7d3a92dbd1d1,475c1602-d57a-5993-8df1-bb21968f3976,success,13b2b610-6000-5b59-a4c3-66994834a818,APIActivity,203.0.113.77,FY26-Forecast-Synthetic.xlsx,2026-06-15T01:33:00Z,bac69792-442c-5c36-9054-1a99f48152f3
Create federatedIdentityCredential,13b2b610-6000-5b59-a4c3-66994834a818,,ServicePrincipal,7e826e1b-2861-5d4f-866a-6366dd986a64,964de907-25f7-52e8-acab-17d36438c7ab,Microsoft Graph,Confirmed,05973d99-2b27-54e2-95fc-51f2952df5d9,bce01df2-2d9e-54ef-a247-06c3a40936ad,success,13b2b610-6000-5b59-a4c3-66994834a818,APIActivity,203.0.113.77,Northstar Data Operations Connector [SYNTHETIC],2026-06-15T01:36:00Z,bac69792-442c-5c36-9054-1a99f48152f3
Add federated identity credential,13b2b610-6000-5b59-a4c3-66994834a818,Northstar Data Operations Connector [SYNTHETIC],ServicePrincipal,7e826e1b-2861-5d4f-866a-6366dd986a64,1bf9b5a5-84fb-5111-bb2c-3a5c568644b6,ApplicationManagement,Confirmed,05973d99-2b27-54e2-95fc-51f2952df5d9,bce01df2-2d9e-54ef-a247-06c3a40936ad,success,13b2b610-6000-5b59-a4c3-66994834a818,DirectoryAudit,,Northstar Data Operations Connector [SYNTHETIC],2026-06-15T01:36:00Z,
Application sign-in using federatedIdentityCredential,13b2b610-6000-5b59-a4c3-66994834a818,Northstar Data Operations Connector [SYNTHETIC],ServicePrincipal,7e826e1b-2861-5d4f-866a-6366dd986a64,e1be1d20-f5d7-55be-bd73-d7fe5a1082f4,Service principal sign-in,Confirmed,,d23d8d80-a499-538e-ad30-8b0b9e41e88c,success,13b2b610-6000-5b59-a4c3-66994834a818,ServicePrincipalSignIn,198.51.100.90,Microsoft Graph resource representation [SYNTHETIC],2026-06-15T02:05:00Z,52f99e92-bb8b-5678-8990-0a5caffcaffd
List applications,13b2b610-6000-5b59-a4c3-66994834a818,,ServicePrincipal,7e826e1b-2861-5d4f-866a-6366dd986a64,6dc4d4fd-0516-507b-809d-fb3987c697ce,Microsoft Graph,Confirmed,6d5bf41d-63af-5818-b3cf-c16bc94df02a,95fbf36b-79f4-54b2-9dab-8d6df2082cf8,success,13b2b610-6000-5b59-a4c3-66994834a818,APIActivity,198.51.100.90,Applications collection,2026-06-15T02:08:00Z,52f99e92-bb8b-5678-8990-0a5caffcaffd
Disable service principal,6de69e55-9d6e-5613-9d8f-3f92961b0c56,Incident Responder,User,,331e972c-c7a1-5c2b-bad5-827966014301,ApplicationManagement,Confirmed,,,success,,DirectoryAudit,192.0.2.25,Northstar Data Operations Connector [SYNTHETIC],2026-06-15T03:18:00Z,
Delete delegated permission grant,6de69e55-9d6e-5613-9d8f-3f92961b0c56,Incident Responder,User,,61d65642-3c33-5994-a167-5b95b5730f7a,ApplicationManagement,Confirmed,,,success,,DirectoryAudit,192.0.2.25,Tenant-wide delegated permission grant [SYNTHETIC],2026-06-15T03:20:00Z,
Remove app role assignment from service principal,6de69e55-9d6e-5613-9d8f-3f92961b0c56,Incident Responder,User,,be8adece-dd59-5183-a3ae-8391d5cbc9c6,ApplicationManagement,Confirmed,,,success,,DirectoryAudit,192.0.2.25,Northstar Data Operations Connector [SYNTHETIC],2026-06-15T03:22:00Z,
Remove member from role,6de69e55-9d6e-5613-9d8f-3f92961b0c56,Incident Responder,User,,1721bac9-3a91-5024-b918-41705612c033,RoleManagement,Confirmed,,,success,,DirectoryAudit,192.0.2.25,Northstar Data Operations Connector [SYNTHETIC]; Cloud Application Administrator [SYNTHETIC ROLE],2026-06-15T03:24:00Z,
Remove service principal credentials,6de69e55-9d6e-5613-9d8f-3f92961b0c56,Incident Responder,User,,5ed98329-0552-546c-9715-04c33fcd77f7,ApplicationManagement,Confirmed,,,success,,DirectoryAudit,192.0.2.25,Northstar Data Operations Connector [SYNTHETIC],2026-06-15T03:26:00Z,
Delete federated identity credential,6de69e55-9d6e-5613-9d8f-3f92961b0c56,Incident Responder,User,,5a112215-7416-53ea-a2bf-d65a91c4c5dd,ApplicationManagement,Confirmed,,,success,,DirectoryAudit,192.0.2.25,Northstar Data Operations Connector [SYNTHETIC],2026-06-15T03:28:00Z,
Revoke all refresh tokens for user,6de69e55-9d6e-5613-9d8f-3f92961b0c56,Incident Responder,User,,8d1dcd2b-6d52-5885-bc11-d4feaf40989e,UserManagement,Confirmed,,,success,,DirectoryAudit,192.0.2.25,Cloud Administrator Two,2026-06-15T03:30:00Z,
