link_type,left_source,left_event_or_object_id,right_source,right_event_or_object_id,stable_key_type,stable_key_value,evidence_strength,finding,boundary
Credential metadata to service-principal sign-in,credential_metadata,39acbc69-455e-5b9d-adb1-dcd57a386a7b,service_principal_signins,510e1852-cb7d-57a5-8a9e-18670b119f66,credential key/federated credential ID,39acbc69-455e-5b9d-adb1-dcd57a386a7b,Confirmed,Client secret metadata was used in a successful sign-in,Does not by itself identify the human controlling the credential
Credential metadata to service-principal sign-in,credential_metadata,20cc77c2-49cf-537d-9db9-b7d166018d7f,service_principal_signins,2b54ad03-75d1-56c5-86c8-1a75073da7a3,credential key/federated credential ID,20cc77c2-49cf-537d-9db9-b7d166018d7f,Confirmed,Federated identity credential metadata was used in a successful sign-in,Does not by itself identify the human controlling the credential
Credential metadata to service-principal sign-in,credential_metadata,b5d2882f-a467-5325-a7db-9500186bbea4,service_principal_signins,661ebf76-0804-5e9a-abe1-5fc51625a315,credential key/federated credential ID,b5d2882f-a467-5325-a7db-9500186bbea4,Confirmed,Federated identity credential metadata was used in a successful sign-in,Does not by itself identify the human controlling the credential
Service-principal sign-in token to API activity,service_principal_signins,510e1852-cb7d-57a5-8a9e-18670b119f66,api_activity,541a8ac2-2465-53fe-8221-e15245f0e077,UniqueTokenIdentifier,bac69792-442c-5c36-9054-1a99f48152f3,Confirmed,Token issued in sign-in was used for API operation: List applications,Specific permission claim is not logged in the API activity
Service-principal sign-in token to API activity,service_principal_signins,510e1852-cb7d-57a5-8a9e-18670b119f66,api_activity,881c0121-21ff-54fa-8c18-71f38b0af9ca,UniqueTokenIdentifier,bac69792-442c-5c36-9054-1a99f48152f3,Confirmed,Token issued in sign-in was used for API operation: List servicePrincipals,Specific permission claim is not logged in the API activity
Service-principal sign-in token to API activity,service_principal_signins,510e1852-cb7d-57a5-8a9e-18670b119f66,api_activity,a4808412-3c01-5a5f-ab3e-ee23d8c8d3c8,UniqueTokenIdentifier,bac69792-442c-5c36-9054-1a99f48152f3,Confirmed,Token issued in sign-in was used for API operation: List sites,Specific permission claim is not logged in the API activity
Service-principal sign-in token to API activity,service_principal_signins,510e1852-cb7d-57a5-8a9e-18670b119f66,api_activity,ad038709-1f9b-5367-bb74-e1b7a381abd8,UniqueTokenIdentifier,bac69792-442c-5c36-9054-1a99f48152f3,Confirmed,Token issued in sign-in was used for API operation: List driveItems,Specific permission claim is not logged in the API activity
Service-principal sign-in token to API activity,service_principal_signins,510e1852-cb7d-57a5-8a9e-18670b119f66,api_activity,475c1602-d57a-5993-8df1-bb21968f3976,UniqueTokenIdentifier,bac69792-442c-5c36-9054-1a99f48152f3,Confirmed,Token issued in sign-in was used for API operation: Download driveItem content,Specific permission claim is not logged in the API activity
Service-principal sign-in token to API activity,service_principal_signins,510e1852-cb7d-57a5-8a9e-18670b119f66,api_activity,bce01df2-2d9e-54ef-a247-06c3a40936ad,UniqueTokenIdentifier,bac69792-442c-5c36-9054-1a99f48152f3,Confirmed,Token issued in sign-in was used for API operation: Create federatedIdentityCredential,Specific permission claim is not logged in the API activity
Service-principal sign-in token to API activity,service_principal_signins,2b54ad03-75d1-56c5-86c8-1a75073da7a3,api_activity,95fbf36b-79f4-54b2-9dab-8d6df2082cf8,UniqueTokenIdentifier,52f99e92-bb8b-5678-8990-0a5caffcaffd,Confirmed,Token issued in sign-in was used for API operation: List applications,Specific permission claim is not logged in the API activity
API operation to resulting directory audit,api_activity,bce01df2-2d9e-54ef-a247-06c3a40936ad,directory_audit,0c1909b3-45f1-5c27-9aeb-4a2eaa302ca4,requestId + servicePrincipal object ID,bce01df2-2d9e-54ef-a247-06c3a40936ad|13b2b610-6000-5b59-a4c3-66994834a818,Confirmed,API operation produced directory audit event: Add federated identity credential,The audit correlationId is not treated as equivalent to the API correlationId
